2002.183562,797,45,33,61,29,20,51,72,35,53,17
2002.205479,805,45,32,60,27,19,53,74,36,50,16
2002.227397,813,45,34,58,26,20,54,77,38,46,17
2002.249315,821,45,35,56,25,20,56,79,39,42,17
2002.271233,829,45,36,58,27,22,60,82,42,43,18
2002.293151,837,45,41,62,26,23,65,83,48,47,18
2002.315068,845,45,47,69,28,24,70,85,55,54,18
2002.336986,853,47,55,76,27,26,74,86,60,58,20
2002.358904,861,49,61,81,28,28,77,86,63,56,19
2002.380822,869,54,64,83,27,32,78,86,65,50,19
2002.40274,877,63,65,84,27,34,80,84,67,46,18
2002.424658,885,72,65,85,26,36,80,85,67,47,18
2002.446575,893,78,63,84,27,39,80,86,70,49,17
2002.468493,901,83,63,84,27,41,79,84,71,55,18
2002.490411,909,83,65,85,28,46,80,85,73,62,18
2002.512329,917,83,69,85,29,48,79,85,72,69,18
2002.534247,925,82,72,86,29,49,78,87,71,74,18
2002.556164,933,80,77,88,29,48,75,86,68,78,18
2002.578082,941,82,80,89,29,48,74,87,65,79,18
2002.6,949,83,79,89,29,45,76,86,63,79,18
2002.621918,957,84,78,89,29,42,76,86,59,80,18
2002.643836,965,83,77,88,29,39,77,84,57,80,19
2002.665753,973,79,75,86,32,38,75,85,55,82,19
2002.687671,981,77,74,86,34,38,75,88,53,84,19
2002.709589,989,77,68,87,35,38,74,88,52,84,20
2002.731507,997,78,62,88,34,38,73,88,54,82,20
2002.753425,1005,77,57,87,34,38,73,87,57,80,20
2002.775342,1013,75,55,86,32,38,73,86,60,76,19
2002.79726,1021,67,51,86,33,34,73,86,60,71,19
2002.819178,1029,56,50,84,33,32,72,84,61,62,20
2002.841096,1037,47,48,81,33,29,73,83,59,56,19
2002.863014,1045,45,47,78,32,28,70,83,58,50,18
2002.884932,1053,48,46,75,32,27,68,82,56,47,18
2002.906849,1061,49,46,71,32,28,63,80,52,45,19
2002.928767,1069,48,44,69,32,29,61,78,49,42,19
2002.950685,1077,48,43,67,35,27,57,76,48,42,19
2002.972603,1085,47,40,69,34,25,56,74,47,43,19
2002.994521,1093,47,40,70,34,24,56,74,46,43,19
2003.008219,1098,46,40,71,33,17,56,74,45,44,19
2003.030137,1106,46,39,70,31,14,56,74,43,43,18
2003.052055,1114,45,38,67,31,13,55,74,42,38,17
2003.073973,1122,44,37,64,30,14,54,73,42,34,18
2003.09589,1130,43,35,60,30,15,52,71,41,33,17
2003.117808,1138,44,36,60,30,15,51,69,41,31,17
2003.139726,1146,42,35,59,29,17,50,69,38,30,17
2003.161644,1154,42,33,60,29,18,51,70,38,31,18
2003.183562,1162,41,32,59,27,18,54,72,37,34,17
2003.205479,1170,40,34,58,27,20,56,72,38,35,17
2003.227397,1178,40,36,59,26,21,59,74,43,36,18
2003.249315,1186,40,40,61,25,21,61,76,47,38,16
2003.271233,1194,38,44,65,26,22,66,80,52,42,17
2003.293151,1202,38,50,69,26,25,69,83,55,45,16
2003.315068,1210,38,56,74,25,31,74,84,60,47,16
2003.336986,1218,40,60,79,26,36,76,84,65,48,17
2003.358904,1226,44,64,84,25,40,76,86,68,50,17
2003.380822,1234,52,64,86,27,43,75,86,69,52,16
2003.40274,1242,64,66,88,26,48,77,86,70,55,16
2003.424658,1250,72,64,88,27,56,76,86,71,58,16
2003.446575,1258,77,62,88,27,62,77,87,71,57,16
2003.468493,1266,76,60,88,27,64,78,87,69,56,16
2003.490411,1274,73,58,87,27,61,83,86,65,58,16
2003.512329,1282,73,58,88,28,57,85,82,63,64,17
2003.534247,1290,76,63,88,27,52,85,80,60,71,16
2003.556164,1298,78,72,88,28,46,83,82,59,76,17
2003.578082,1306,81,78,89,28,42,82,83,60,79,17
2003.6,1314,81,82,90,28,38,82,86,61,81,18
2003.621918,1322,80,83,89,29,37,82,85,59,84,17
2003.643836,1330,78,83,88,30,34,79,87,56,84,17
2003.665753,1338,75,84,88,30,32,78,89,55,84,18
2003.687671,1346,74,84,87,30,31,75,89,55,81,18
2003.709589,1354,72,81,87,30,32,75,88,58,79,18
2003.731507,1362,71,77,86,31,33,74,86,59,76,18
2003.753425,1370,68,71,84,31,34,73,85,61,70,18
